0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trips,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Accommodation,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Hotels and similar establishments,Hotels and similar establishments,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trips,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Source:  Accomodation Establishments Survey (Residents; NACE 55.10, 55.20 and 55.30 of  NACE Rev.2).  2/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  3/ From 2018 Source: Accomodation Establishments Survey (By residents; only  NACE 55.10 of NACE Rev.2)."
,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source:  Accomodation Establishments Survey (Residents; NACE 55.10, 55.20 and 55.30 of  NACE Rev.2).  2/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  3/ From 2018 Source: Accomodation Establishments Survey (By residents; only  NACE 55.10 of NACE Rev.2)."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source:  Accomodation Establishments Survey (Residents; NACE 55.10, 55.20 and 55.30 of  NACE Rev.2).  2/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  3/ From 2018 Source: Accomodation Establishments Survey (By residents; only  NACE 55.10 of NACE Rev.2)."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source:  Accomodation Establishments Survey (Residents; NACE 55.10, 55.20 and 55.30 of  NACE Rev.2).  2/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  3/ From 2018 Source: Accomodation Establishments Survey (By residents; only  NACE 55.10 of NACE Rev.2)."
,Accommodation,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Source:  Accomodation Establishments Survey (Residents; NACE 55.10, 55.20 and 55.30 of  NACE Rev.2).  2/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  3/ From 2018 Source: Accomodation Establishments Survey (By residents; only  NACE 55.10 of NACE Rev.2)."
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Source:  Accomodation Establishments Survey (Residents; NACE 55.10, 55.20 and 55.30 of  NACE Rev.2).  2/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  3/ From 2018 Source: Accomodation Establishments Survey (By residents; only  NACE 55.10 of NACE Rev.2)."
,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,476,469,372,546,"1/ Short Term  Survey. Hotels only. From 2012, the classification used for SBS is NACE Rev.  2."
,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,931,1104,800,1155,"1/ Short Term  Survey. Hotels only. From 2012, the classification used for SBS is NACE Rev.  2."
,,Hotels and similar establishments,Hotels and similar establishments,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
