0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Basic  data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of employees by  tourism industries,Number of employees by  tourism industries,Number of employees by  tourism industries,Number of employees by  tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Total,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Accommodation services  for visitors (hotels and similar establishments),Accommodation services  for visitors (hotels and similar establishments),Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Other accommodation  services,Other accommodation  services,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Food and beverage serving  activities,Food and beverage serving  activities,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Passenger transportation,Passenger transportation,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Travel agencies and other  reservation services activities,Travel agencies and other  reservation services activities,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Other tourism industries,Other tourism industries,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of employees by  tourism industries,Number of employees by  tourism industries,Number of employees by  tourism industries,Number of employees by  tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2012, the classification  used for SBS is NACE Rev. 2.  2/ Includes all enterprises classified in NACE 55 and 56 of NACE Rev.  2.  3/ Includes all enterprises classified in NACE 49, 50 or 51 of NACE Rev.  2.  4/ Includes all enterprises classified in NACE 79 of NACE Rev. 2."
,,Total,Total,,Thousands,1/,..,..,..,..,..,..,..,..,..,15.0,15.6,16.7,18.4,17.5,18.7,22.0,22.7,21.4,25.3,26.7,29.0,39.2,43.6,46.7,52.0,42.4,..,
,,,Accommodation services  for visitors (hotels and similar establishments),Accommodation services  for visitors (hotels and similar establishments),Thousands,2/,..,..,..,..,..,..,..,..,..,8.0,8.5,9.6,10.5,9.2,10.6,11.9,13.3,14.7,18.0,19.4,21.8,30.0,33.4,35.6,40.7,32.6,..,
,,,Other accommodation  services,Other accommodation  services,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Food and beverage serving  activities,Food and beverage serving  activities,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Passenger transportation,Passenger transportation,Thousands,3/,..,..,..,..,..,..,..,..,..,4.4,4.4,4.3,4.9,5.3,5.1,5.9,5.1,5.9,6.4,6.2,6.2,7.7,8.3,9.2,8.7,8.1,..,
,,,Travel agencies and other  reservation services activities,Travel agencies and other  reservation services activities,Thousands,4/,..,..,..,..,..,..,..,..,..,2.6,2.7,2.8,3.0,3.0,3.0,4.2,4.3,0.8,0.9,1.1,1.0,1.5,1.9,1.9,2.6,1.7,..,
,,,Other tourism industries,Other tourism industries,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of employees by  tourism industries,Number of employees by  tourism industries,Number of employees by  tourism industries,Number of employees by  tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ 2019: estimate.
,,Total,Total,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,230.0,270.0,300.0,308.0,320.0,..,..,
,,,Accommodation services  for visitors (hotels and similar establishments),Accommodation services  for visitors (hotels and similar establishments),Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Other accommodation  services,Other accommodation  services,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Food and beverage serving  activities,Food and beverage serving  activities,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Passenger transportation,Passenger transportation,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Travel agencies and other  reservation services activities,Travel agencies and other  reservation services activities,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
