0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,38,70,106,255,110,138,140,151,89,130,226,168,49,..,
,,Travel,Travel,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,36,68,103,246,105,132,137,147,79,118,203,129,30,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,3,9,5,6,3,4,10,12,23,39,19,..,
ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,955,1303,1350,1694,2097,2616,2979,3716,3404,3443,4120,3959,3928,4146,4504,4852,5186,5415,5922,2907,4191,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
