0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Basic data and indicators,Basic data and indicators,Basic data and indicators,Basic data and indicators,Basic data and indicators,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AFGHANISTAN,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Number of rooms,Number of rooms,Number of rooms,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Source: Business  Register.  2/ Until 2016: the figures are updated with the Structural Business  Survey.  3/ From 2018 Source: Accomodation Establishments Survey (Only NACE 55.10 of  NACE Rev.2).
,,Number of establishments,Number of establishments,Number of establishments,Units,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1021,1126,1237,..,1/ Source: Business  Register.  2/ Until 2016: the figures are updated with the Structural Business  Survey.  3/ From 2018 Source: Accomodation Establishments Survey (Only NACE 55.10 of  NACE Rev.2).
,,Number of rooms,Number of rooms,Number of rooms,Units,2/ 3/,..,..,..,..,..,..,..,2283,2337,2376,4341,4834,6876,10112,10118,14328,12428,14652,14146,15081,12986,17692,..,30524,33798,34713,35802,1/ Source: Business  Register.  2/ Until 2016: the figures are updated with the Structural Business  Survey.  3/ From 2018 Source: Accomodation Establishments Survey (Only NACE 55.10 of  NACE Rev.2).
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,2/ 3/,..,..,..,..,..,..,..,4532,4956,5539,7583,9204,14700,20539,22638,25110,24301,32004,29737,32879,29903,41376,..,69395,77974,82434,85403,1/ Source: Business  Register.  2/ Until 2016: the figures are updated with the Structural Business  Survey.  3/ From 2018 Source: Accomodation Establishments Survey (Only NACE 55.10 of  NACE Rev.2).
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,3/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.53,21.81,10.59,17.50,1/ Source: Business  Register.  2/ Until 2016: the figures are updated with the Structural Business  Survey.  3/ From 2018 Source: Accomodation Establishments Survey (Only NACE 55.10 of  NACE Rev.2).
